연도,월,일,시간,지역,태양광발전량(MWh)
2022,12,1,1,경기도,1.51
2022,12,1,2,경기도,0.14
2022,12,1,3,경기도,0
2022,12,1,4,경기도,0
2022,12,1,5,경기도,0
2022,12,1,6,경기도,0
2022,12,1,7,경기도,0
2022,12,1,8,경기도,0.57
2022,12,1,9,경기도,26.49
2022,12,1,10,경기도,91.8
2022,12,1,11,경기도,127.22
2022,12,1,12,경기도,150.8
2022,12,1,13,경기도,149.98
2022,12,1,14,경기도,134.29
2022,12,1,15,경기도,110.69
2022,12,1,16,경기도,64.77
2022,12,1,17,경기도,17.71
2022,12,1,18,경기도,5.52
2022,12,1,19,경기도,13.62
2022,12,1,20,경기도,16.66
2022,12,1,21,경기도,19.24
2022,12,1,22,경기도,13.97
2022,12,1,23,경기도,8.35
2022,12,1,24,경기도,3.69
2022,12,1,1,강원도,0.46
2022,12,1,2,강원도,0.02
2022,12,1,3,강원도,0
2022,12,1,4,강원도,0
2022,12,1,5,강원도,0
2022,12,1,6,강원도,0
2022,12,1,7,강원도,0
2022,12,1,8,강원도,1.54
2022,12,1,9,강원도,51.27
2022,12,1,10,강원도,181.1
2022,12,1,11,강원도,229.32
2022,12,1,12,강원도,268.96
2022,12,1,13,강원도,278.05
2022,12,1,14,강원도,259.65
2022,12,1,15,강원도,218.58
2022,12,1,16,강원도,125.35
2022,12,1,17,강원도,31.41
2022,12,1,18,강원도,16.84
2022,12,1,19,강원도,58.13
2022,12,1,20,강원도,79.58
2022,12,1,21,강원도,72.8
2022,12,1,22,강원도,47.21
2022,12,1,23,강원도,18.21
2022,12,1,24,강원도,5.07
2022,12,1,1,경상남도,0.77
2022,12,1,2,경상남도,0.06
2022,12,1,3,경상남도,0.55
2022,12,1,4,경상남도,0.59
2022,12,1,5,경상남도,0.29
2022,12,1,6,경상남도,0.01
2022,12,1,7,경상남도,0
2022,12,1,8,경상남도,4.34
2022,12,1,9,경상남도,46.93
2022,12,1,10,경상남도,91.71
2022,12,1,11,경상남도,122.48
2022,12,1,12,경상남도,236.89
2022,12,1,13,경상남도,236.61
2022,12,1,14,경상남도,201.66
2022,12,1,15,경상남도,140.02
2022,12,1,16,경상남도,80.18
2022,12,1,17,경상남도,23.16
2022,12,1,18,경상남도,10.67
2022,12,1,19,경상남도,23.81
2022,12,1,20,경상남도,32.88
2022,12,1,21,경상남도,25.4
2022,12,1,22,경상남도,15.31
2022,12,1,23,경상남도,6.73
2022,12,1,24,경상남도,2.2
2022,12,1,1,경상북도,0.56
2022,12,1,2,경상북도,0.05
2022,12,1,3,경상북도,0
2022,12,1,4,경상북도,0
2022,12,1,5,경상북도,0
2022,12,1,6,경상북도,0
2022,12,1,7,경상북도,0
2022,12,1,8,경상북도,5.72
2022,12,1,9,경상북도,53.33
2022,12,1,10,경상북도,126.92
2022,12,1,11,경상북도,251.48
2022,12,1,12,경상북도,354.68
2022,12,1,13,경상북도,348.46
2022,12,1,14,경상북도,313.63
2022,12,1,15,경상북도,259.77
2022,12,1,16,경상북도,130.81
2022,12,1,17,경상북도,47.82
2022,12,1,18,경상북도,13.56
2022,12,1,19,경상북도,37.3
2022,12,1,20,경상북도,66.45
2022,12,1,21,경상북도,70.52
2022,12,1,22,경상북도,59.71
2022,12,1,23,경상북도,35.87
2022,12,1,24,경상북도,10.11
2022,12,1,1,전라남도,0.11
2022,12,1,2,전라남도,0
2022,12,1,3,전라남도,0
2022,12,1,4,전라남도,0
2022,12,1,5,전라남도,0
2022,12,1,6,전라남도,0
2022,12,1,7,전라남도,0
2022,12,1,8,전라남도,5.96
2022,12,1,9,전라남도,141.62
2022,12,1,10,전라남도,429.69
2022,12,1,11,전라남도,622.95
2022,12,1,12,전라남도,879.4
2022,12,1,13,전라남도,819.88
