거래일자,거래시간,지역,태양광발전량(MWh),풍력발전량(MWh)
2023-06-01,01,강원도,2.163042,5.431346
2023-06-01,02,강원도,1.011176,5.525512
2023-06-01,03,강원도,0.692842,6.156516
2023-06-01,04,강원도,0.4086,7.257649
2023-06-01,05,강원도,0.295672,5.266331
2023-06-01,06,강원도,3.384603,5.725756
2023-06-01,07,강원도,32.797402,6.620553
2023-06-01,08,강원도,77.635827,7.423905
2023-06-01,09,강원도,148.078927,10.03255
2023-06-01,10,강원도,200.573704,10.784384
2023-06-01,11,강원도,201.046754,19.27548
2023-06-01,12,강원도,224.143996,31.037231
2023-06-01,13,강원도,229.266595,87.374519
2023-06-01,14,강원도,222.080578,134.547673
2023-06-01,15,강원도,229.685292,44.57496
2023-06-01,16,강원도,228.268176,28.939043
2023-06-01,17,강원도,183.853584,27.047228
2023-06-01,18,강원도,130.908405,30.474518
2023-06-01,19,강원도,96.71971,22.998174
2023-06-01,20,강원도,80.995638,19.442381
2023-06-01,21,강원도,61.101143,10.367359
2023-06-01,22,강원도,28.058307,5.856632
2023-06-01,23,강원도,8.886713,7.889138
2023-06-01,24,강원도,2.914255,8.184828
2023-06-01,01,경기도,0.996836,0
2023-06-01,02,경기도,0.75428,0
2023-06-01,03,경기도,0,0
2023-06-01,04,경기도,0,0
2023-06-01,05,경기도,0,0
2023-06-01,06,경기도,0.928543,0
2023-06-01,07,경기도,13.477474,0
2023-06-01,08,경기도,39.201749,0
2023-06-01,09,경기도,78.4252,0
2023-06-01,10,경기도,92.417529,0
2023-06-01,11,경기도,90.07501,0
2023-06-01,12,경기도,121.79253,0
2023-06-01,13,경기도,122.18858,0
2023-06-01,14,경기도,118.996827,0
2023-06-01,15,경기도,111.261697,0
2023-06-01,16,경기도,106.46173,0
2023-06-01,17,경기도,94.408179,0
2023-06-01,18,경기도,63.260692,0
2023-06-01,19,경기도,37.635995,0
2023-06-01,20,경기도,20.633076,0
2023-06-01,21,경기도,16.232294,0
2023-06-01,22,경기도,8.764141,0
2023-06-01,23,경기도,3.341746,0
2023-06-01,24,경기도,0.258981,0
2023-06-01,01,경상남도,0.970632,0
2023-06-01,02,경상남도,0.05472,0
2023-06-01,03,경상남도,0.7056,0
2023-06-01,04,경상남도,0.7284,0
2023-06-01,05,경상남도,0.7272,336.499682
2023-06-01,06,경상남도,2.422917,183.164714
2023-06-01,07,경상남도,18.733846,193.643863
2023-06-01,08,경상남도,37.419393,0
2023-06-01,09,경상남도,52.310003,0
2023-06-01,10,경상남도,65.77081,212.067884
2023-06-01,11,경상남도,45.993178,0
2023-06-01,12,경상남도,52.29469,145.899006
2023-06-01,13,경상남도,46.343328,0
2023-06-01,14,경상남도,60.599023,273.467307
2023-06-01,15,경상남도,57.094445,0
2023-06-01,16,경상남도,46.04154,0
2023-06-01,17,경상남도,42.098885,0
2023-06-01,18,경상남도,26.481468,0
2023-06-01,19,경상남도,14.759674,0
2023-06-01,20,경상남도,4.568431,214.902815
2023-06-01,21,경상남도,1.930564,67.762732
2023-06-01,22,경상남도,0.661512,53.889779
2023-06-01,23,경상남도,0.18912,54.890144
2023-06-01,24,경상남도,0.18864,48.790753
2023-06-01,01,경상북도,1.805579,23.743925
2023-06-01,02,경상북도,0.412594,30.862788
2023-06-01,03,경상북도,0.030166,48.019688
2023-06-01,04,경상북도,0,65.443019
2023-06-01,05,경상북도,0,38.18494
2023-06-01,06,경상북도,5.753263,26.840694
2023-06-01,07,경상북도,53.207727,22.442836
2023-06-01,08,경상북도,105.040951,22.188303
2023-06-01,09,경상북도,177.017137,19.957819
2023-06-01,10,경상북도,268.265159,35.023069
2023-06-01,11,경상북도,233.138179,24.286886
2023-06-01,12,경상북도,195.146635,20.984059
2023-06-01,13,경상북도,193.921281,45.385852
2023-06-01,14,경상북도,199.978183,41.641298
2023-06-01,15,경상북도,269.542298,27.170051
2023-06-01,16,경상북도,223.330412,25.978768
2023-06-01,17,경상북도,165.046308,23.012474
2023-06-01,18,경상북도,97.490215,15.183871
2023-06-01,19,경상북도,81.369205,15.574516
2023-06-01,20,경상북도,61.440911,13.627569
2023-06-01,21,경상북도,49.201334,13.052814
2023-06-01,22,경상북도,24.943438,12.488833
2023-06-01,23,경상북도,7.297405,9.980863
2023-06-01,24,경상북도,1.777251,8.837803
2023-06-01,01,광주시,0.00004,2.868388
2023-06-01,02,광주시,0,2.866552
2023-06-01,03,광주시,0,2.859327
2023-06-01,04,광주시,0,2.85701
2023-06-01,05,광주시,0,2.855415
2023-06-01,06,광주시,0.010432,2.854326
2023-06-01,07,광주시,1.06433,2.854048
2023-06-01,08,광주시,2.284397,2.853486
2023-06-01,09,광주시,3.371416,2.852109
2023-06-01,10,광주시,15.850515,2.85134
2023-06-01,11,광주시,7.645948,2.848509
2023-06-01,12,광주시,8.846081,2.840602
2023-06-01,13,광주시,8.51749,2.838852
2023-06-01,14,광주시,6.117877,2.838836
2023-06-01,15,광주시,9.285674,2.836289
2023-06-01,16,광주시,8.047052,2.835732
2023-06-01,17,광주시,7.422044,2.83453
2023-06-01,18,광주시,3.878237,2.83295
2023-06-01,19,광주시,2.813512,2.832707
2023-06-01,20,광주시,0.945909,2.832456
2023-06-01,21,광주시,0.27762,2.828832
2023-06-01,22,광주시,0.1531,2.826864
2023-06-01,23,광주시,0.12144,2.822375
2023-06-01,24,광주시,0.0012,2.822166
2023-06-01,01,대구시,0,2.815121
2023-06-01,02,대구시,0,2.811824
2023-06-01,03,대구시,0,2.808113
2023-06-01,04,대구시,0,2.806677
2023-06-01,05,대구시,0,2.806095
2023-06-01,06,대구시,0.56406,2.805341
2023-06-01,07,대구시,3.809931,2.802498
2023-06-01,08,대구시,9.115158,2.801897
2023-06-01,09,대구시,10.701047,2.800048
2023-06-01,10,대구시,18.07229,2.797172
2023-06-01,11,대구시,9.82805,2.796834
2023-06-01,12,대구시,9.844413,2.793847
2023-06-01,13,대구시,5.956562,2.789741
2023-06-01,14,대구시,7.780668,2.788348
2023-06-01,15,대구시,20.203426,2.787221
2023-06-01,16,대구시,12.973938,2.78668
2023-06-01,17,대구시,10.088858,2.786388
2023-06-01,18,대구시,4.819667,2.783185
2023-06-01,19,대구시,2.8153,2.781836
2023-06-01,20,대구시,0.506864,2.777093
2023-06-01,21,대구시,0,2.772971
2023-06-01,22,대구시,0,2.772541
2023-06-01,23,대구시,0,2.772144
2023-06-01,24,대구시,0,2.769815
2023-06-01,01,대전시,0,2.768709
2023-06-01,02,대전시,0,2.765171
2023-06-01,03,대전시,0,2.76497
2023-06-01,04,대전시,0,2.763935
2023-06-01,05,대전시,0,2.763932
2023-06-01,06,대전시,0.054746,2.76317
2023-06-01,07,대전시,0.661611,2.76192
2023-06-01,08,대전시,1.781335,2.76073
2023-06-01,09,대전시,4.059074,2.757114
2023-06-01,10,대전시,4.779935,2.754423
2023-06-01,11,대전시,6.20762,2.750153
2023-06-01,12,대전시,4.944742,2.749125
2023-06-01,13,대전시,6.303507,2.749072
2023-06-01,14,대전시,7.857658,2.741712
2023-06-01,15,대전시,5.841536,2.73642
2023-06-01,16,대전시,2.744003,2.735463
2023-06-01,17,대전시,1.442963,2.733548
2023-06-01,18,대전시,1.859123,2.733197
2023-06-01,19,대전시,0.876681,2.731389
2023-06-01,20,대전시,0.253928,2.731176
2023-06-01,21,대전시,0,2.730878
2023-06-01,22,대전시,0,2.726963
2023-06-01,23,대전시,0,2.726076
2023-06-01,24,대전시,0,2.724031
2023-06-01,01,부산시,0,0
2023-06-01,02,부산시,0,0
2023-06-01,03,부산시,0,0
2023-06-01,04,부산시,0,0
2023-06-01,05,부산시,0,0
2023-06-01,06,부산시,0.337126,0
2023-06-01,07,부산시,4.184031,0
2023-06-01,08,부산시,8.198756,0
2023-06-01,09,부산시,9.637587,0
2023-06-01,10,부산시,27.335851,0
2023-06-01,11,부산시,16.038107,0
2023-06-01,12,부산시,9.428954,0
2023-06-01,13,부산시,11.3775,0
2023-06-01,14,부산시,12.997785,0
2023-06-01,15,부산시,11.894408,0
2023-06-01,16,부산시,13.516135,0
2023-06-01,17,부산시,9.518965,0
2023-06-01,18,부산시,7.965622,0
2023-06-01,19,부산시,2.396562,0
2023-06-01,20,부산시,0.321322,0
2023-06-01,21,부산시,0.0068,0
2023-06-01,22,부산시,0,0
2023-06-01,23,부산시,0,0
2023-06-01,24,부산시,0,0
2023-06-01,01,서울시,0,2.72235
2023-06-01,02,서울시,0,2.720464
2023-06-01,03,서울시,0,2.716664
2023-06-01,04,서울시,0,2.715375
2023-06-01,05,서울시,0,2.71536
2023-06-01,06,서울시,0.028674,2.714129
2023-06-01,07,서울시,0.536164,2.713924
2023-06-01,08,서울시,2.045632,2.712674
2023-06-01,09,서울시,3.859348,2.712261
2023-06-01,10,서울시,4.815905,2.709818
2023-06-01,11,서울시,4.910998,2.708675
2023-06-01,12,서울시,7.781691,2.704092
2023-06-01,13,서울시,5.13253,2.702656
2023-06-01,14,서울시,6.124967,2.700904
2023-06-01,15,서울시,5.693734,2.695855
2023-06-01,16,서울시,7.175765,2.693579
2023-06-01,17,서울시,5.097239,2.693304
2023-06-01,18,서울시,2.68119,2.692865
2023-06-01,19,서울시,1.117103,2.692579
2023-06-01,20,서울시,0.298836,2.688
2023-06-01,21,서울시,0.1654,2.688
2023-06-01,22,서울시,0.07816,2.686431
2023-06-01,23,서울시,0,2.684288
2023-06-01,24,서울시,0,2.683953
2023-06-01,01,세종시,0,2.682082
2023-06-01,02,세종시,0,2.681477
2023-06-01,03,세종시,0,2.677594
2023-06-01,04,세종시,0,2.676669
2023-06-01,05,세종시,0,2.673677
2023-06-01,06,세종시,0.157463,2.667171
2023-06-01,07,세종시,1.48766,2.666283
2023-06-01,08,세종시,4.567788,2.662958
2023-06-01,09,세종시,8.134378,2.661418
2023-06-01,10,세종시,9.605001,2.659433
2023-06-01,11,세종시,12.196968,2.656781
2023-06-01,12,세종시,9.720762,2.655714
2023-06-01,13,세종시,13.681202,2.655585
2023-06-01,14,세종시,16.723253,2.653922
2023-06-01,15,세종시,11.450947,2.653652
2023-06-01,16,세종시,6.360113,2.653522
2023-06-01,17,세종시,6.213339,2.652808
2023-06-01,18,세종시,5.743792,2.652379
2023-06-01,19,세종시,4.108735,2.652258
2023-06-01,20,세종시,1.535716,2.64776
2023-06-01,21,세종시,0.068097,2.644879
2023-06-01,22,세종시,0,2.644292
2023-06-01,23,세종시,0,2.641093
2023-06-01,24,세종시,0,2.639284
2023-06-01,01,울산시,0,0
2023-06-01,02,울산시,0,0
2023-06-01,03,울산시,0,0
2023-06-01,04,울산시,0,0
2023-06-01,05,울산시,0,0
2023-06-01,06,울산시,0.335565,0
2023-06-01,07,울산시,2.409606,0
2023-06-01,08,울산시,4.658371,0
2023-06-01,09,울산시,7.291498,0
2023-06-01,10,울산시,10.735333,0
2023-06-01,11,울산시,11.848639,0
2023-06-01,12,울산시,3.067297,0
2023-06-01,13,울산시,4.488093,0
2023-06-01,14,울산시,3.46496,0
2023-06-01,15,울산시,3.721646,0
2023-06-01,16,울산시,4.459783,0
2023-06-01,17,울산시,2.375631,0
2023-06-01,18,울산시,1.539678,0
2023-06-01,19,울산시,0.612751,0
2023-06-01,20,울산시,0.077979,0
2023-06-01,21,울산시,0.02448,0
2023-06-01,22,울산시,0.0234,0
2023-06-01,23,울산시,0.00468,0
2023-06-01,24,울산시,0,0
2023-06-01,01,인천시,3.66872,0
2023-06-01,02,인천시,0.10752,0
2023-06-01,03,인천시,0,0
2023-06-01,04,인천시,0,0
2023-06-01,05,인천시,0,0
2023-06-01,06,인천시,0.047501,0
2023-06-01,07,인천시,1.328745,0
2023-06-01,08,인천시,4.927363,0
2023-06-01,09,인천시,9.472842,0
2023-06-01,10,인천시,9.819035,0
2023-06-01,11,인천시,12.191582,0
2023-06-01,12,인천시,13.713625,0
2023-06-01,13,인천시,11.503309,0
2023-06-01,14,인천시,15.622811,0
2023-06-01,15,인천시,18.978754,0
2023-06-01,16,인천시,24.384973,0
2023-06-01,17,인천시,22.599693,0
2023-06-01,18,인천시,15.794856,0
2023-06-01,19,인천시,9.654274,0
2023-06-01,20,인천시,5.305349,0
2023-06-01,21,인천시,0.819502,0
2023-06-01,22,인천시,0.42528,0
2023-06-01,23,인천시,0.04368,0
2023-06-01,24,인천시,0,0
2023-06-01,01,전라남도,3.726278,25.183015
2023-06-01,02,전라남도,0.205568,22.492096
2023-06-01,03,전라남도,0.511992,11.774758
2023-06-01,04,전라남도,0.54216,12.122249
2023-06-01,05,전라남도,0.329856,11.315281
2023-06-01,06,전라남도,1.950287,11.148703
2023-06-01,07,전라남도,30.553604,17.80149
2023-06-01,08,전라남도,96.096103,31.603108
2023-06-01,09,전라남도,180.661763,34.812265
2023-06-01,10,전라남도,239.784874,19.189332
2023-06-01,11,전라남도,253.983195,16.429538
2023-06-01,12,전라남도,427.242947,22.917311
2023-06-01,13,전라남도,293.373105,52.797333
2023-06-01,14,전라남도,318.903202,92.537238
2023-06-01,15,전라남도,355.431643,158.694434
2023-06-01,16,전라남도,330.996893,137.471275
2023-06-01,17,전라남도,631.81153,115.455746
2023-06-01,18,전라남도,448.56736,121.378167
2023-06-01,19,전라남도,164.215276,162.103711
2023-06-01,20,전라남도,24.851015,86.369504
2023-06-01,21,전라남도,4.108126,55.011378
2023-06-01,22,전라남도,0.345613,47.106302
2023-06-01,23,전라남도,1.22352,51.123527
2023-06-01,24,전라남도,0.18316,91.537263
2023-06-01,01,전라북도,1.629102,0
2023-06-01,02,전라북도,0.512318,0
2023-06-01,03,전라북도,0.600726,0
2023-06-01,04,전라북도,0.405,0
2023-06-01,05,전라북도,0.41076,0
2023-06-01,06,전라북도,2.968394,0
2023-06-01,07,전라북도,30.829615,0
2023-06-01,08,전라북도,85.221906,0
2023-06-01,09,전라북도,161.528156,0
2023-06-01,10,전라북도,224.820471,111.640304
2023-06-01,11,전라북도,229.734181,135.96776
2023-06-01,12,전라북도,348.605831,69.108582
2023-06-01,13,전라북도,346.791322,0
2023-06-01,14,전라북도,252.264112,0
2023-06-01,15,전라북도,213.063534,0
2023-06-01,16,전라북도,193.414147,0
2023-06-01,17,전라북도,168.665342,0
2023-06-01,18,전라북도,103.294315,0
2023-06-01,19,전라북도,76.668517,0
2023-06-01,20,전라북도,44.741608,0
2023-06-01,21,전라북도,22.833117,0
2023-06-01,22,전라북도,8.784776,0
2023-06-01,23,전라북도,3.674086,0
2023-06-01,24,전라북도,0.37452,0
2023-06-01,01,제주도,0.000448,123.779447
2023-06-01,02,제주도,0.000764,105.329693
2023-06-01,03,제주도,0.000696,92.696609
2023-06-01,04,제주도,0.00486,115.698599
2023-06-01,05,제주도,0.00044,144.400367
2023-06-01,06,제주도,0.386625,72.509661
2023-06-01,07,제주도,12.854585,66.988707
2023-06-01,08,제주도,41.125907,87.318766
2023-06-01,09,제주도,59.198854,106.482992
2023-06-01,10,제주도,97.073113,90.571911
2023-06-01,11,제주도,63.472322,105.980645
2023-06-01,12,제주도,51.050763,92.949285
2023-06-01,13,제주도,38.538443,113.413538
2023-06-01,14,제주도,31.058228,114.614414
2023-06-01,15,제주도,28.639209,180.133251
2023-06-01,16,제주도,28.652321,0
2023-06-01,17,제주도,38.443434,134.406091
2023-06-01,18,제주도,20.183988,44.360966
2023-06-01,19,제주도,4.720757,64.26801
2023-06-01,20,제주도,3.049714,241.930451
2023-06-01,21,제주도,1.768469,0
2023-06-01,22,제주도,0.152201,60.376953
2023-06-01,23,제주도,0.000448,107.221413
2023-06-01,24,제주도,0.00048,114.909202
2023-06-01,01,충청남도,0.857234,0
2023-06-01,02,충청남도,0.422091,0
2023-06-01,03,충청남도,0.0276,0
2023-06-01,04,충청남도,0,0
2023-06-01,05,충청남도,0.00008,0
2023-06-01,06,충청남도,2.441917,0
2023-06-01,07,충청남도,40.918908,0
2023-06-01,08,충청남도,110.47875,0
2023-06-01,09,충청남도,186.41414,0
