거래일자,거래시간,지역명,태양광발전량(Mwh),풍력발전량(Mwh)
2023-09-01,1,경기도,0.029757,0
2023-09-01,2,경기도,0,0
2023-09-01,3,경기도,0,0
2023-09-01,4,경기도,0,0
2023-09-01,5,경기도,0,0
2023-09-01,6,경기도,0.000172,0
2023-09-01,7,경기도,3.21777,0
2023-09-01,8,경기도,26.235777,0
2023-09-01,9,경기도,65.379013,0
2023-09-01,10,경기도,110.456457,0
2023-09-01,11,경기도,150.75288,0.00036
2023-09-01,12,경기도,187.84366,0
2023-09-01,13,경기도,205.282108,0
2023-09-01,14,경기도,208.37846,0.039366
2023-09-01,15,경기도,193.198138,0.018951
2023-09-01,16,경기도,156.369825,0.174546
2023-09-01,17,경기도,107.797523,0.376052
2023-09-01,18,경기도,57.25567,0.436775
2023-09-01,19,경기도,22.15317,0.633253
2023-09-01,20,경기도,16.44969,0.460555
2023-09-01,21,경기도,16.870826,0.448532
2023-09-01,22,경기도,11.038179,0.186213
2023-09-01,23,경기도,6.402741,0.077714
2023-09-01,24,경기도,1.420742,0.064866
2023-09-01,1,강원도,0.43432,21.215781
2023-09-01,2,강원도,0,15.982426
2023-09-01,3,강원도,0,13.243995
2023-09-01,4,강원도,0,18.468556
2023-09-01,5,강원도,0.012,26.308918
2023-09-01,6,강원도,0.000145,26.645939
2023-09-01,7,강원도,5.633862,22.904006
2023-09-01,8,강원도,43.167203,27.569041
2023-09-01,9,강원도,110.1019,23.26599
2023-09-01,10,강원도,215.46197,18.466857
2023-09-01,11,강원도,302.3704,5.063427
2023-09-01,12,강원도,350.127869,2.662736
2023-09-01,13,강원도,369.399994,3.057651
2023-09-01,14,강원도,392.435322,11.961973
2023-09-01,15,강원도,385.103004,14.891071
2023-09-01,16,강원도,320.349269,22.683593
2023-09-01,17,강원도,217.510593,26.6862
2023-09-01,18,강원도,119.967182,18.370947
2023-09-01,19,강원도,76.015224,22.144395
2023-09-01,20,강원도,79.215802,27.347977
2023-09-01,21,강원도,68.999706,38.869206
2023-09-01,22,강원도,44.252457,39.093635
2023-09-01,23,강원도,15.6591,30.171549
2023-09-01,24,강원도,4.673917,15.929871
2023-09-01,1,경상남도,0.082472,2.036956
2023-09-01,2,경상남도,0,3.43565
2023-09-01,3,경상남도,0.6972,1.777301
2023-09-01,4,경상남도,0.7272,2.281649
2023-09-01,5,경상남도,0.5496,3.608602
2023-09-01,6,경상남도,0.000764,1.955571
2023-09-01,7,경상남도,3.02153,1.747876
2023-09-01,8,경상남도,24.669232,1.055873
2023-09-01,9,경상남도,48.840063,0.994623
2023-09-01,10,경상남도,70.551254,1.18008
2023-09-01,11,경상남도,104.05929,0.0864
2023-09-01,12,경상남도,180.564847,0.01008
2023-09-01,13,경상남도,193.018399,0.036126
2023-09-01,14,경상남도,176.944568,1.414206
2023-09-01,15,경상남도,161.678546,1.566909
2023-09-01,16,경상남도,143.93445,0.466269
2023-09-01,17,경상남도,93.828363,0.847983
2023-09-01,18,경상남도,69.152734,0.430579
2023-09-01,19,경상남도,25.637162,0.219638
2023-09-01,20,경상남도,19.519988,2.24935
2023-09-01,21,경상남도,16.10035,4.595059
2023-09-01,22,경상남도,9.555531,0.912941
2023-09-01,23,경상남도,2.928572,4.043236
2023-09-01,24,경상남도,1.4806,5.203806
2023-09-01,1,경상북도,0.04868,3.241337
2023-09-01,2,경상북도,0.00656,1.221781
2023-09-01,3,경상북도,0.00004,3.121393
2023-09-01,4,경상북도,0,9.065601
2023-09-01,5,경상북도,0,3.323053
2023-09-01,6,경상북도,0.694606,7.320764
2023-09-01,7,경상북도,6.990365,22.471374
2023-09-01,8,경상북도,47.774404,23.709877
2023-09-01,9,경상북도,95.449764,9.128042
2023-09-01,10,경상북도,159.194157,1.512957
2023-09-01,11,경상북도,219.505425,0.630784
2023-09-01,12,경상북도,305.389522,0.259658
2023-09-01,13,경상북도,387.704627,1.031855
2023-09-01,14,경상북도,390.766206,6.625867
2023-09-01,15,경상북도,395.765443,5.00843
2023-09-01,16,경상북도,357.119031,3.284874
2023-09-01,17,경상북도,257.097952,3.207841
2023-09-01,18,경상북도,138.836798,1.575641
2023-09-01,19,경상북도,70.919622,1.119931
2023-09-01,20,경상북도,62.343691,3.255766
2023-09-01,21,경상북도,58.221021,0.577569
2023-09-01,22,경상북도,41.127302,0.491257
2023-09-01,23,경상북도,18.647796,0.831429
2023-09-01,24,경상북도,5.135708,2.344281
2023-09-01,1,전라남도,0.969732,29.643895
2023-09-01,2,전라남도,0.262824,15.425318
2023-09-01,3,전라남도,0.048876,12.307364
2023-09-01,4,전라남도,0.099028,13.103126
2023-09-01,5,전라남도,0.006,22.443441
2023-09-01,6,전라남도,0.03586,35.196033
2023-09-01,7,전라남도,15.880518,33.682113
2023-09-01,8,전라남도,138.979685,41.293842
2023-09-01,9,전라남도,335.523106,50.057466
2023-09-01,10,전라남도,674.21225,38.293254
2023-09-01,11,전라남도,1022.836935,31.17941
2023-09-01,12,전라남도,1211.728514,52.344862
2023-09-01,13,전라남도,1292.383144,76.70446
2023-09-01,14,전라남도,1502.643466,109.323519
2023-09-01,15,전라남도,1479.446608,108.941798
2023-09-01,16,전라남도,1314.533207,113.645784
2023-09-01,17,전라남도,1125.370387,92.87488
2023-09-01,18,전라남도,832.127016,126.419918
2023-09-01,19,전라남도,594.611146,105.682537
2023-09-01,20,전라남도,486.599413,79.615177
2023-09-01,21,전라남도,412.784399,63.922566
2023-09-01,22,전라남도,159.203266,62.803637
2023-09-01,23,전라남도,22.515953,45.273495
2023-09-01,24,전라남도,5.088999,26.741465
2023-09-01,1,전라북도,1.469292,16.995853
2023-09-01,2,전라북도,0.394428,9.779038
2023-09-01,3,전라북도,0.411328,7.056
2023-09-01,4,전라북도,0.402612,7.392
2023-09-01,5,전라북도,0.40032,10.08
2023-09-01,6,전라북도,0.17068,8.064
2023-09-01,7,전라북도,3.440593,8.064
2023-09-01,8,전라북도,60.087144,7.064687
2023-09-01,9,전라북도,187.895749,6.080763
2023-09-01,10,전라북도,359.165722,2.5452
2023-09-01,11,전라북도,434.006689,9.8904
2023-09-01,12,전라북도,510.030704,18.83592
2023-09-01,13,전라북도,547.977575,28.03032
2023-09-01,14,전라북도,548.029112,16.95672
2023-09-01,15,전라북도,520.44938,15.233949
2023-09-01,16,전라북도,445.134981,20.960492
2023-09-01,17,전라북도,328.553525,27.962138
2023-09-01,18,전라북도,184.304896,28.702683
2023-09-01,19,전라북도,80.037682,46.035939
2023-09-01,20,전라북도,60.413903,53.061632
2023-09-01,21,전라북도,50.748977,52.018394
2023-09-01,22,전라북도,29.985736,42.327892
2023-09-01,23,전라북도,15.643522,36.987407
2023-09-01,24,전라북도,5.311194,29.408573
2023-09-01,1,충청남도,0.3614,0
2023-09-01,2,충청남도,0.06296,0
2023-09-01,3,충청남도,0,0
2023-09-01,4,충청남도,0,0
2023-09-01,5,충청남도,0,0
2023-09-01,6,충청남도,0.00012,0
2023-09-01,7,충청남도,15.461355,0
2023-09-01,8,충청남도,136.380039,0
2023-09-01,9,충청남도,328.494684,0
2023-09-01,10,충청남도,504.34519,0
2023-09-01,11,충청남도,628.499269,0
2023-09-01,12,충청남도,723.392789,0
2023-09-01,13,충청남도,795.38148,0
2023-09-01,14,충청남도,820.878674,0
2023-09-01,15,충청남도,764.825142,0
2023-09-01,16,충청남도,601.01322,0
2023-09-01,17,충청남도,439.960821,0
2023-09-01,18,충청남도,276.126347,0
2023-09-01,19,충청남도,153.239042,0
2023-09-01,20,충청남도,120.821525,0
2023-09-01,21,충청남도,72.096012,0
2023-09-01,22,충청남도,31.277741,0
2023-09-01,23,충청남도,12.292382,0
2023-09-01,24,충청남도,3.191056,0
2023-09-01,1,충청북도,0,
2023-09-01,2,충청북도,0.00072,
2023-09-01,3,충청북도,0,
2023-09-01,4,충청북도,0.2472,
2023-09-01,5,충청북도,0.2648,
2023-09-01,6,충청북도,0.2298,
2023-09-01,7,충청북도,0.561028,
2023-09-01,8,충청북도,11.072322,
2023-09-01,9,충청북도,37.117822,
2023-09-01,10,충청북도,76.931909,
2023-09-01,11,충청북도,135.608484,
2023-09-01,12,충청북도,184.324133,
2023-09-01,13,충청북도,200.970225,
2023-09-01,14,충청북도,207.919002,
2023-09-01,15,충청북도,211.082438,
2023-09-01,16,충청북도,182.239856,
2023-09-01,17,충청북도,138.897592,
2023-09-01,18,충청북도,86.022639,
2023-09-01,19,충청북도,51.129723,
2023-09-01,20,충청북도,45.597105,
2023-09-01,21,충청북도,34.042754,
2023-09-01,22,충청북도,15.506529,
2023-09-01,23,충청북도,6.505417,
2023-09-01,24,충청북도,2.602505,
2023-09-01,1,제주도,0.000472,14.667427
2023-09-01,2,제주도,0.001264,19.900375
2023-09-01,3,제주도,0.000516,15.365992
2023-09-01,4,제주도,0.000612,15.67878
2023-09-01,5,제주도,0.000684,12.974852
2023-09-01,6,제주도,0.021993,8.657629
2023-09-01,7,제주도,3.334937,23.244873
2023-09-01,8,제주도,14.511273,27.688729
2023-09-01,9,제주도,44.372042,32.53639
2023-09-01,10,제주도,108.797952,25.779397
2023-09-01,11,제주도,111.36905,27.338982
2023-09-01,12,제주도,105.055038,31.852125
2023-09-01,13,제주도,135.541153,36.856192
2023-09-01,14,제주도,96.438099,47.127767
2023-09-01,15,제주도,71.27947,52.991855
2023-09-01,16,제주도,70.953515,24.613185
2023-09-01,17,제주도,55.66918,13.020513
2023-09-01,18,제주도,34.211223,15.186242
2023-09-01,19,제주도,19.887831,12.312698
2023-09-01,20,제주도,4.708692,47.300991
2023-09-01,21,제주도,2.464104,48.98742
2023-09-01,22,제주도,0.861088,30.258386
2023-09-01,23,제주도,0.055824,23.699948
2023-09-01,24,제주도,0.000488,42.335988
2023-09-01,1,서울시,0,
2023-09-01,2,서울시,0,
2023-09-01,3,서울시,0,
2023-09-01,4,서울시,0,
2023-09-01,5,서울시,0,
2023-09-01,6,서울시,0.000006,
2023-09-01,7,서울시,0.175436,
2023-09-01,8,서울시,1.513954,
2023-09-01,9,서울시,4.621985,
2023-09-01,10,서울시,7.294681,
2023-09-01,11,서울시,8.925724,
2023-09-01,12,서울시,9.995837,
2023-09-01,13,서울시,9.943586,
2023-09-01,14,서울시,10.199864,
2023-09-01,15,서울시,9.445371,
2023-09-01,16,서울시,7.941636,
2023-09-01,17,서울시,5.115907,
2023-09-01,18,서울시,2.667678,
2023-09-01,19,서울시,0.490673,
2023-09-01,20,서울시,0.183942,
2023-09-01,21,서울시,0.16532,
2023-09-01,22,서울시,0.16548,
2023-09-01,23,서울시,0.1522,
2023-09-01,24,서울시,0.01324,
2023-09-01,1,인천시,0,0.01728
2023-09-01,2,인천시,0,0.067238
2023-09-01,3,인천시,0,0.164712
2023-09-01,4,인천시,0,0.370358
2023-09-01,5,인천시,0,0.12864
2023-09-01,6,인천시,0,0.023211
2023-09-01,7,인천시,0.555397,0
2023-09-01,8,인천시,5.29953,0
2023-09-01,9,인천시,13.426227,0
2023-09-01,10,인천시,21.058296,0.0192
2023-09-01,11,인천시,25.651737,0.00192
2023-09-01,12,인천시,28.642467,0.00576
2023-09-01,13,인천시,28.235048,0.01344
2023-09-01,14,인천시,31.286403,0.222356
2023-09-01,15,인천시,29.576928,0.005777
2023-09-01,16,인천시,25.86616,0.203287
2023-09-01,17,인천시,21.435269,0.865164
2023-09-01,18,인천시,14.233243,1.359024
2023-09-01,19,인천시,7.111601,1.308076
2023-09-01,20,인천시,3.370905,1.000123
2023-09-01,21,인천시,2.523893,0.770644
2023-09-01,22,인천시,1.422126,0.792618
2023-09-01,23,인천시,0.05424,0.69852
2023-09-01,24,인천시,0,0.497762
2023-09-01,1,대전시,0,
2023-09-01,2,대전시,0,
2023-09-01,3,대전시,0,
2023-09-01,4,대전시,0,
2023-09-01,5,대전시,0,
2023-09-01,6,대전시,0,
2023-09-01,7,대전시,0.000252,
2023-09-01,8,대전시,0.278759,
2023-09-01,9,대전시,1.57853,
2023-09-01,10,대전시,3.920186,
2023-09-01,11,대전시,7.068502,
2023-09-01,12,대전시,9.171933,
2023-09-01,13,대전시,9.829387,
2023-09-01,14,대전시,9.510325,
2023-09-01,15,대전시,8.73311,
2023-09-01,16,대전시,7.197796,
2023-09-01,17,대전시,4.865174,
2023-09-01,18,대전시,2.230031,
2023-09-01,19,대전시,0.329013,
2023-09-01,20,대전시,0.000072,
2023-09-01,21,대전시,0,
2023-09-01,22,대전시,0,
2023-09-01,23,대전시,0,
2023-09-01,24,대전시,0,
2023-09-01,1,광주시,0,
2023-09-01,2,광주시,0,
2023-09-01,3,광주시,0,
2023-09-01,4,광주시,0,
2023-09-01,5,광주시,0,
2023-09-01,6,광주시,0,
2023-09-01,7,광주시,0.449898,
2023-09-01,8,광주시,4.370511,
2023-09-01,9,광주시,8.691157,
2023-09-01,10,광주시,14.642567,
2023-09-01,11,광주시,25.351458,
2023-09-01,12,광주시,30.300193,
2023-09-01,13,광주시,34.66539,
2023-09-01,14,광주시,36.730752,
2023-09-01,15,광주시,33.304427,
2023-09-01,16,광주시,30.839304,
2023-09-01,17,광주시,25.329409,
2023-09-01,18,광주시,14.141492,
2023-09-01,19,광주시,5.582148,
2023-09-01,20,광주시,2.32746,
2023-09-01,21,광주시,1.25212,
2023-09-01,22,광주시,0.87414,
2023-09-01,23,광주시,0.56596,
2023-09-01,24,광주시,0.15448,
2023-09-01,1,대구시,0,
2023-09-01,2,대구시,0,
2023-09-01,3,대구시,0,
2023-09-01,4,대구시,0,
2023-09-01,5,대구시,0,
2023-09-01,6,대구시,0,
2023-09-01,7,대구시,0.315995,
2023-09-01,8,대구시,4.229619,
2023-09-01,9,대구시,8.260338,
2023-09-01,10,대구시,12.549903,
2023-09-01,11,대구시,16.730842,
2023-09-01,12,대구시,29.890613,
2023-09-01,13,대구시,39.089747,
2023-09-01,14,대구시,36.875693,
2023-09-01,15,대구시,35.799699,
2023-09-01,16,대구시,30.427912,
2023-09-01,17,대구시,18.059386,
2023-09-01,18,대구시,11.379891,
2023-09-01,19,대구시,4.297171,
2023-09-01,20,대구시,1.467026,
2023-09-01,21,대구시,0.951696,
2023-09-01,22,대구시,0.706536,
2023-09-01,23,대구시,0.03648,
2023-09-01,24,대구시,0,
2023-09-01,1,세종시,0,
2023-09-01,2,세종시,0,
2023-09-01,3,세종시,0,
2023-09-01,4,세종시,0,
2023-09-01,5,세종시,0,
2023-09-01,6,세종시,0,
2023-09-01,7,세종시,0.020312,
2023-09-01,8,세종시,0.979171,
2023-09-01,9,세종시,3.058474,
2023-09-01,10,세종시,5.292989,
2023-09-01,11,세종시,12.062557,
2023-09-01,12,세종시,19.862135,
2023-09-01,13,세종시,20.656972,
2023-09-01,14,세종시,20.267673,
2023-09-01,15,세종시,17.936834,
2023-09-01,16,세종시,15.458944,
2023-09-01,17,세종시,11.925445,
2023-09-01,18,세종시,6.500817,
2023-09-01,19,세종시,2.257111,
2023-09-01,20,세종시,0.90664,
2023-09-01,21,세종시,0.22504,
2023-09-01,22,세종시,0,
2023-09-01,23,세종시,0,
2023-09-01,24,세종시,0,
2023-09-01,1,울산시,0,0
2023-09-01,2,울산시,0,0
2023-09-01,3,울산시,0,0
2023-09-01,4,울산시,0,0
2023-09-01,5,울산시,0,0
