거래일자,거래시간,지역,  태양광 발전량(MWh)  ,  풍력 발전량(MWh)  
2023-03-01,01,경기도,1.246789,0
2023-03-01,02,경기도,0.45296,0
2023-03-01,03,경기도,0.00576,0
2023-03-01,04,경기도,0,0
2023-03-01,05,경기도,0,0.00144
2023-03-01,06,경기도,0,0.00252
2023-03-01,07,경기도,0.000164,0
2023-03-01,08,경기도,1.830025,0.010982
2023-03-01,09,경기도,22.620493,0.00144
2023-03-01,10,경기도,42.279812,0
2023-03-01,11,경기도,52.13373,0.085113
2023-03-01,12,경기도,70.822071,0.447783
2023-03-01,13,경기도,75.066539,1.142229
2023-03-01,14,경기도,86.270305,1.452868
2023-03-01,15,경기도,98.678423,2.919591
2023-03-01,16,경기도,105.165339,2.672105
2023-03-01,17,경기도,88.185321,3.456133
2023-03-01,18,경기도,36.453419,3.719294
2023-03-01,19,경기도,12.050611,2.954012
2023-03-01,20,경기도,12.324119,2.117901
2023-03-01,21,경기도,12.920645,2.601477
2023-03-01,22,경기도,8.376127,2.910054
2023-03-01,23,경기도,4.148754,3.012139
2023-03-01,24,경기도,0.625197,3.679113
2023-03-01,01,강원도,1.82942,295.935088
2023-03-01,02,강원도,0.5421,299.358397
2023-03-01,03,강원도,0,289.038199
2023-03-01,04,강원도,0,274.577441
2023-03-01,05,강원도,0.0004,259.784473
2023-03-01,06,강원도,0,255.666369
2023-03-01,07,강원도,0,224.751559
2023-03-01,08,강원도,5.07092,180.427634
2023-03-01,09,강원도,34.070516,180.223348
2023-03-01,10,강원도,80.669258,163.241312
2023-03-01,11,강원도,93.153862,121.232086
2023-03-01,12,강원도,111.389585,119.378243
2023-03-01,13,강원도,133.088967,117.334017
2023-03-01,14,강원도,116.976089,137.478719
2023-03-01,15,강원도,93.053999,167.550453
2023-03-01,16,강원도,95.141466,201.682029
2023-03-01,17,강원도,100.631226,232.221049
2023-03-01,18,강원도,49.604463,255.380497
2023-03-01,19,강원도,48.817533,235.881899
2023-03-01,20,강원도,52.847437,233.888423
2023-03-01,21,강원도,28.409589,255.684804
2023-03-01,22,강원도,6.657587,265.143299
2023-03-01,23,강원도,0.916844,236.624563
2023-03-01,24,강원도,0.11204,212.728566
2023-03-01,01,경상남도,1.574448,45.098185
2023-03-01,02,경상남도,0.70144,48.926842
2023-03-01,03,경상남도,0.64608,44.552147
2023-03-01,04,경상남도,0.59328,28.398183
2023-03-01,05,경상남도,0.59328,18.820534
2023-03-01,06,경상남도,0.59232,14.819975
2023-03-01,07,경상남도,0.277456,11.059352
2023-03-01,08,경상남도,2.424954,10.886344
2023-03-01,09,경상남도,12.936992,10.220008
2023-03-01,10,경상남도,33.034908,11.232442
2023-03-01,11,경상남도,61.808697,15.372947
2023-03-01,12,경상남도,87.856645,12.732373
2023-03-01,13,경상남도,124.793056,12.044874
2023-03-01,14,경상남도,141.051003,11.108122
2023-03-01,15,경상남도,149.196513,14.60988
2023-03-01,16,경상남도,131.262556,22.416265
2023-03-01,17,경상남도,73.312385,24.880857
2023-03-01,18,경상남도,36.734908,34.577129
2023-03-01,19,경상남도,24.602744,36.580048
2023-03-01,20,경상남도,23.425978,40.051945
2023-03-01,21,경상남도,12.946628,42.118351
2023-03-01,22,경상남도,7.059209,47.672709
2023-03-01,23,경상남도,2.8762,50.753792
2023-03-01,24,경상남도,1.32288,55.866789
2023-03-01,01,경상북도,5.513824,225.50361
2023-03-01,02,경상북도,2.402985,244.131933
2023-03-01,03,경상북도,0.227574,282.254862
2023-03-01,04,경상북도,0,263.651493
2023-03-01,05,경상북도,0,254.616442
2023-03-01,06,경상북도,0,227.979228
2023-03-01,07,경상북도,0.016651,149.317535
2023-03-01,08,경상북도,7.200463,108.784295
2023-03-01,09,경상북도,47.154663,118.960625
2023-03-01,10,경상북도,87.467956,108.868789
2023-03-01,11,경상북도,103.686039,120.959326
2023-03-01,12,경상북도,128.797011,141.57542
2023-03-01,13,경상북도,171.715869,163.064007
2023-03-01,14,경상북도,212.357016,192.495751
2023-03-01,15,경상북도,184.817664,196.077397
2023-03-01,16,경상북도,114.043691,226.231184
2023-03-01,17,경상북도,84.419997,259.654463
2023-03-01,18,경상북도,56.670331,259.938208
2023-03-01,19,경상북도,35.92876,255.865321
2023-03-01,20,경상북도,57.090905,207.401041
2023-03-01,21,경상북도,44.026029,226.875402
2023-03-01,22,경상북도,20.488588,207.951242
2023-03-01,23,경상북도,4.971804,228.56744
2023-03-01,24,경상북도,2.215011,205.562493
2023-03-01,01,전라남도,3.77447,7.452229
2023-03-01,02,전라남도,0.850782,6.271674
2023-03-01,03,전라남도,0.458298,6.039557
2023-03-01,04,전라남도,0.086793,6.423127
2023-03-01,05,전라남도,0,5.776336
2023-03-01,06,전라남도,0.01283,11.180979
2023-03-01,07,전라남도,0.018661,20.900551
2023-03-01,08,전라남도,8.128197,22.984437
2023-03-01,09,전라남도,137.982623,4.403972
2023-03-01,10,전라남도,383.662026,33.903254
2023-03-01,11,전라남도,395.557504,71.357486
2023-03-01,12,전라남도,514.718737,50.072258
2023-03-01,13,전라남도,749.691909,51.293855
2023-03-01,14,전라남도,951.489157,86.109662
2023-03-01,15,전라남도,901.904797,138.501275
2023-03-01,16,전라남도,635.817495,149.251001
2023-03-01,17,전라남도,526.428688,267.983033
2023-03-01,18,전라남도,588.764307,258.63074
2023-03-01,19,전라남도,473.224498,263.387313
2023-03-01,20,전라남도,481.118777,271.091567
2023-03-01,21,전라남도,400.31765,280.593975
2023-03-01,22,전라남도,114.94862,258.486419
2023-03-01,23,전라남도,28.641087,238.152678
2023-03-01,24,전라남도,14.502206,224.389296
2023-03-01,01,전라북도,1.547453,0.005424
2023-03-01,02,전라북도,0.586496,0.001808
2023-03-01,03,전라북도,0.293433,0.001808
2023-03-01,04,전라북도,0.051676,0
2023-03-01,05,전라북도,0.03192,0.048813
2023-03-01,06,전라북도,0.00866,9.281717
2023-03-01,07,전라북도,0.00488,18.17835
2023-03-01,08,전라북도,8.945696,4.232676
2023-03-01,09,전라북도,58.793602,9.075885
2023-03-01,10,전라북도,140.109621,14.285557
2023-03-01,11,전라북도,223.329307,8.658529
2023-03-01,12,전라북도,296.518817,7.488086
2023-03-01,13,전라북도,372.119377,13.635828
2023-03-01,14,전라북도,339.885112,24.716956
2023-03-01,15,전라북도,247.755383,22.01452
2023-03-01,16,전라북도,208.657365,44.428559
2023-03-01,17,전라북도,214.184531,53.019924
2023-03-01,18,전라북도,115.064924,53.8786
2023-03-01,19,전라북도,49.822727,49.78762
2023-03-01,20,전라북도,58.768334,54.823085
2023-03-01,21,전라북도,42.333407,56.038879
2023-03-01,22,전라북도,25.081254,49.026594
2023-03-01,23,전라북도,10.963451,40.663109
2023-03-01,24,전라북도,2.137468,45.498035
2023-03-01,01,충청남도,4.288956,0
2023-03-01,02,충청남도,0.85807,0
2023-03-01,03,충청남도,0.105584,0
2023-03-01,04,충청남도,0.00016,0
2023-03-01,05,충청남도,0.0002,0
2023-03-01,06,충청남도,0.00016,0
2023-03-01,07,충청남도,0.0002,0
2023-03-01,08,충청남도,6.369641,0
2023-03-01,09,충청남도,61.834555,0
2023-03-01,10,충청남도,150.051733,0
2023-03-01,11,충청남도,171.562838,0
2023-03-01,12,충청남도,207.665085,0.0666
2023-03-01,13,충청남도,204.945805,0.6696
2023-03-01,14,충청남도,251.449262,0.8478
2023-03-01,15,충청남도,218.718931,1.1556
2023-03-01,16,충청남도,244.106361,1.2564
2023-03-01,17,충청남도,289.508959,1.5156
2023-03-01,18,충청남도,172.927264,1.521
2023-03-01,19,충청남도,112.494465,1.2708
2023-03-01,20,충청남도,123.755415,0.8784
2023-03-01,21,충청남도,61.727339,0.2466
2023-03-01,22,충청남도,34.912701,0.7776
2023-03-01,23,충청남도,10.92872,1.0008
2023-03-01,24,충청남도,3.980078,0.7488
2023-03-01,01,충청북도,1.186011,0
2023-03-01,02,충청북도,0.1588,0
2023-03-01,03,충청북도,0.0644,0
2023-03-01,04,충청북도,0.24944,0
2023-03-01,05,충청북도,0.26444,0
2023-03-01,06,충청북도,0.2658,0
2023-03-01,07,충청북도,0.25904,0
2023-03-01,08,충청북도,3.550641,0
2023-03-01,09,충청북도,18.431011,0
2023-03-01,10,충청북도,46.180825,0
2023-03-01,11,충청북도,67.447991,0
2023-03-01,12,충청북도,84.716567,0
2023-03-01,13,충청북도,89.800752,0
2023-03-01,14,충청북도,63.48484,0
2023-03-01,15,충청북도,45.51028,0
2023-03-01,16,충청북도,42.011395,0
2023-03-01,17,충청북도,55.83273,0
2023-03-01,18,충청북도,35.319592,0
2023-03-01,19,충청북도,23.777214,0
2023-03-01,20,충청북도,28.775724,0
2023-03-01,21,충청북도,25.604792,0
2023-03-01,22,충청북도,11.919718,0
2023-03-01,23,충청북도,1.48516,0
2023-03-01,24,충청북도,0.09976,0
2023-03-01,01,제주도,0.000408,15.346466
2023-03-01,02,제주도,0.427532,17.401244
2023-03-01,03,제주도,0.198308,23.353921
