useYm,useQty
201101,9168269.0
201102,7072076.0
201103,5656101.0
201104,4096409.0
201105,1862692.0
201106,1848097.0
201107,2767573.0
201108,2996325.0
201109,2598040.0
201110,1595558.0
201111,2087381.0
201112,5869632.0
201201,7709910.0
201202,7138629.0
201203,5537778.0
201204,3784383.0
201205,1563247.0
201206,1827096.0
201207,2057420.0
201208,2900647.0
201209,2509299.0
201210,1055575.0
201211,2037064.0
201212,6120959.0
201301,7412747.0
201302,6580732.0
201303,4989257.0
201304,3458037.0
201305,1777585.0
201306,1681673.0
201307,2422026.0
201308,2985752.0
201309,2336134.0
201310,1171135.0
201311,2100472.0
201312,5249648.0
201401,7189593.0
201402,6211391.0
201403,5121662.0
201404,2331079.0
201405,1499564.0
201406,1733628.0
201407,2379462.0
201408,2543238.0
201409,1788229.0
201410,1348592.0
201411,2344313.0
201412,5885367.0
201501,6890625.0
201502,6488253.0
201503,5455795.0
201504,2968338.0
201505,1675397.0
201506,1847324.0
201507,2097332.0
201508,2747260.0
201509,2243280.0
201510,1320289.0
201511,2029769.0
201512,4645810.0
201601,6365484.0
201602,6410824.0
201603,5178591.0
201604,2879700.0
201605,1407800.0
201606,2063776.0
201607,280245.0
201608,183226.0
201609,236505.0
201610,360956.0
201611,571312.0
201612,891207.0
201701,1019494.0
201702,1044104.0
201703,4662477.0
201704,3544541.0
201705,1299722.0
201706,2041420.0
201707,2672402.0
201708,2685199.0
201709,2572871.0
201710,1291931.0
201711,1795473.0
201712,6441111.0
201801,6433176.0
201802,7137334.0
201803,4624452.0
201804,3314976.0
201805,1515016.0
201806,2078352.0
201807,2284945.0
201808,3207913.0
201809,2523051.0
201810,1263741.0
201811,2041455.0
201812,5384958.0
201901,6203082.0
201902,6135890.0
201903,4143415.0
201904,2949015.0
201905,1543731.0
201906,1922570.0
201907,2170339.0
201908,2847339.0
201909,2402251.0
201910,1676735.0
201911,2243552.0
202001,5577262.0
202002,5173927.0
202003,3260645.0
202004,1073557.0
202005,400349.0
202006,984664.0
202007,1835487.0
202008,1963460.0
202011,1611151.0
202012,4563120.0
202101,5881385.0
202102,5301263.0
202103,3770043.0
202104,2312270.0
202105,1024338.0
202106,1468242.0
202107,1916343.0
202108,2202817.0
202109,1846366.0
202110,1274519.0
202111,1186632.0
202112,3549872.0
202201,4953142.0
202202,4469127.0
202203,3311979.0
202204,1955787.0
202205,804121.0
202206,1398516.0
202207,2332518.0
202208,2127562.0
202209,1790982.0
202210,1332163.0
202211,1353364.0
202212,3706359.0
202301,5163283.0
202302,4951988.0
202303,3050170.0
202304,1782191.0
202305,983409.0
202306,1708440.0
202307,2188141.0
202308,2307551.0
202309,2529407.0
202310,1214706.0
202311,1440307.0
202312,3956066.0
202401,3910183.0
202402,3711023.0
