useYm,useQty
201101,194.0
201102,188.0
201103,267.0
201104,289.0
201105,284.0
201106,1003.0
201107,1054.0
201108,450.0
201109,448.0
201110,385.0
201111,420.0
201112,396.0
201201,320.0
201202,287.0
201203,372.0
201204,390.0
201205,386.0
201206,438.0
201207,379.0
201208,367.0
201209,796.0
201210,1059.0
201211,572.0
201212,456.0
201301,377.0
201302,210.0
201303,269.0
201304,352.0
201305,352.0
201306,461.0
201307,465.0
201308,449.0
201309,462.0
201310,367.0
201311,341.0
201312,305.0
201401,216.0
201402,128.0
201403,300.0
201404,340.0
201405,351.0
201406,285.0
201407,596.0
201408,1.0
201409,455.0
201410,484.0
201411,426.0
201412,439.0
201501,402.0
201502,351.0
201503,401.0
201504,490.0
201505,432.0
201506,424.0
201507,423.0
201508,363.0
201509,387.0
201510,447.0
201511,437.0
201512,456.0
201601,408.0
201602,372.0
201603,430.0
201604,471.0
201605,491.0
201606,541.0
201703,518.0
201704,515.0
201705,542.0
201706,614.0
201707,537.0
201708,557.0
201709,4913.0
201710,5785.0
201711,15349.0
201712,35420.0
201801,44546.0
201802,52017.0
201803,32102.0
201804,20432.0
201805,9902.0
201806,11581.0
201807,9365.0
201808,14005.0
201809,14280.0
201810,14015.0
201811,24726.0
201812,41943.0
201901,50085.0
201902,37185.0
201903,24458.0
201904,22283.0
201905,11798.0
201906,4635.0
201907,5146.0
201908,6083.0
201909,5994.0
201910,4270.0
201911,6889.0
201912,10990.0
202001,11821.0
202002,10808.0
202003,10774.0
202004,112331.0
202005,108627.0
202006,107926.0
202007,130267.0
202008,124386.0
202011,129006.0
202012,156247.0
202101,178661.0
202102,168657.0
202103,127284.0
202104,177906.0
202105,151263.0
202106,151278.0
202107,158952.0
202108,165521.0
202109,167524.0
202110,157057.0
202111,159203.0
202112,162964.0
202201,191391.0
202202,160922.0
202203,132289.0
202204,174460.0
202205,135723.0
202206,146926.0
202207,170461.0
202208,180289.0
202209,169151.0
202210,156861.0
202211,138406.0
202212,148996.0
202301,189248.0
202302,154699.0
202303,119090.0
202304,155122.0
202305,129896.0
202306,140844.0
202307,164994.0
202308,167263.0
202309,182880.0
202310,175957.0
202311,130124.0
202312,149871.0
202401,172577.0
202402,141258.0
